Date,Area,Category,Phase
1982-03-30,0.3107,1,0.1554
1982-03-31,0.3787,2,0.1893
1982-04-01,0.4466,2,0.2233
1982-04-02,0.5146,2,0.2573
1982-04-03,0.5826,3,0.2913
1982-04-04,0.6506,3,0.3253
1982-04-05,0.7185,3,0.3593
1982-04-06,0.7865,3,0.3933
1982-04-07,0.8545,3,0.4272
1982-04-08,0.9224,4,0.4612
1982-04-09,0.9904,4,0.4952
1982-04-10,0.9416,4,0.5292
1982-04-11,0.8736,5,0.5632
1982-04-12,0.8057,5,0.5972
1982-04-13,0.7377,5,0.6311
1982-04-14,0.6697,5,0.6651
1982-04-15,0.6018,6,0.6991
1982-04-16,0.5338,6,0.7331
1982-04-17,0.4658,7,0.7671
1982-04-18,0.3978,7,0.8011
1982-04-19,0.3299,7,0.8351
1982-04-20,0.2619,7,0.869
1982-04-21,0.1939,7,0.903
1982-04-22,0.126,7,0.937
1982-04-23,0.058,0,0.971
1982-04-24,0.01,0,0.005
1982-04-25,0.0782,0,0.0391
1982-04-26,0.1463,1,0.0732
1982-04-27,0.2145,1,0.1072
1982-04-28,0.2827,1,0.1413
1982-04-29,0.3508,1,0.1754
1982-04-30,0.419,2,0.2095
1982-05-01,0.4871,2,0.2436
1982-05-02,0.5553,3,0.2777
1982-05-03,0.6235,3,0.3117
1982-05-04,0.6916,3,0.3458
1982-05-05,0.7598,3,0.3799
1982-05-06,0.828,3,0.414
1982-05-07,0.8961,4,0.4481
1982-05-08,0.9643,4,0.4821
1982-05-09,0.9676,4,0.5162
1982-05-10,0.8994,4,0.5503
1982-05-11,0.8312,5,0.5844
1982-05-12,0.7631,5,0.6185
1982-05-13,0.6949,5,0.6526
1982-05-14,0.6267,5,0.6866
1982-05-15,0.5586,6,0.7207
1982-05-16,0.4904,6,0.7548
1982-05-17,0.4222,7,0.7889
1982-05-18,0.3541,7,0.823
1982-05-19,0.2859,7,0.857
1982-05-20,0.2178,7,0.8911
1982-05-21,0.1496,7,0.9252
1982-05-22,0.0814,0,0.9593
1982-05-23,0.0133,0,0.9934
1982-05-24,0.055,0,0.0275
1982-05-25,0.1232,0,0.0616
1982-05-26,0.1915,1,0.0957
1982-05-27,0.2598,1,0.1299
1982-05-28,0.328,1,0.164
1982-05-29,0.3963,2,0.1981
1982-05-30,0.4645,2,0.2323
1982-05-31,0.5328,3,0.2664
1982-06-01,0.6011,3,0.3005
1982-06-02,0.6693,3,0.3347
1982-06-03,0.7376,3,0.3688
1982-06-04,0.8058,3,0.4029
1982-06-05,0.8741,3,0.437
1982-06-06,0.9424,4,0.4712
1982-06-07,0.9894,4,0.5053
1982-06-08,0.9211,4,0.5394
1982-06-09,0.8529,5,0.5736
1982-06-10,0.7846,5,0.6077
1982-06-11,0.7163,5,0.6418
1982-06-12,0.6481,5,0.676
1982-06-13,0.5798,6,0.7101
1982-06-14,0.5116,6,0.7442
1982-06-15,0.4433,7,0.7783
1982-06-16,0.375,7,0.8125
1982-06-17,0.3068,7,0.8466
1982-06-18,0.2385,7,0.8807
1982-06-19,0.1703,7,0.9149
1982-06-20,0.102,0,0.949
1982-06-21,0.0337,0,0.9831
1982-06-22,0.0345,0,0.0173
1982-06-23,0.1028,0,0.0514
1982-06-24,0.1711,1,0.0855
1982-06-25,0.2393,1,0.1197
1982-06-26,0.3076,1,0.1538
1982-06-27,0.3759,2,0.1879
1982-06-28,0.4442,2,0.2221
1982-06-29,0.5124,2,0.2562
1982-06-30,0.5807,3,0.2903
1982-07-01,0.649,3,0.3245
1982-07-02,0.7172,3,0.3586
1982-07-03,0.7855,3,0.3928
1982-07-04,0.8538,3,0.4269
1982-07-05,0.922,4,0.461
1982-07-06,0.9903,4,0.4952
1982-07-07,0.9414,4,0.5293
1982-07-08,0.8731,5,0.5634
1982-07-09,0.8049,5,0.5976
1982-07-10,0.7366,5,0.6317
1982-07-11,0.6683,5,0.6658
1982-07-12,0.6001,6,0.7
1982-07-13,0.5318,6,0.7341
1982-07-14,0.4635,7,0.7682
1982-07-15,0.3952,7,0.8024
1982-07-16,0.327,7,0.8365
1982-07-17,0.2587,7,0.8706
1982-07-18,0.1904,7,0.9048
1982-07-19,0.1222,0,0.9389
1982-07-20,0.0539,0,0.9731
1982-07-21,0.0144,0,0.0072
1982-07-22,0.0826,0,0.0413
1982-07-23,0.1508,1,0.0754
1982-07-24,0.219,1,0.1095
1982-07-25,0.2872,1,0.1436
1982-07-26,0.3554,1,0.1777
1982-07-27,0.4236,2,0.2118
1982-07-28,0.4918,2,0.2459
1982-07-29,0.56,3,0.28
1982-07-30,0.6282,3,0.3141
1982-07-31,0.6964,3,0.3482
1982-08-01,0.7646,3,0.3823
1982-08-02,0.8328,3,0.4164
1982-08-03,0.901,4,0.4505
1982-08-04,0.9692,4,0.4846
1982-08-05,0.9626,4,0.5187
1982-08-06,0.8944,4,0.5528
1982-08-07,0.8262,5,0.5869
1982-08-08,0.758,5,0.621
1982-08-09,0.6898,5,0.6551
1982-08-10,0.6216,6,0.6892
1982-08-11,0.5534,6,0.7233
1982-08-12,0.4852,6,0.7574
1982-08-13,0.417,7,0.7915
1982-08-14,0.3488,7,0.8256
1982-08-15,0.2806,7,0.8597
1982-08-16,0.2124,7,0.8938
1982-08-17,0.1442,7,0.9279
1982-08-18,0.076,0,0.962
1982-08-19,0.0078,0,0.9961
1982-08-20,0.0603,0,0.0301
1982-08-21,0.1283,1,0.0642
1982-08-22,0.1963,1,0.0982
1982-08-23,0.2644,1,0.1322
1982-08-24,0.3324,1,0.1662
1982-08-25,0.4005,2,0.2002
1982-08-26,0.4685,2,0.2343
1982-08-27,0.5366,3,0.2683
1982-08-28,0.6046,3,0.3023
1982-08-29,0.6727,3,0.3363
1982-08-30,0.7407,3,0.3704
1982-08-31,0.8088,3,0.4044
1982-09-01,0.8768,4,0.4384
1982-09-02,0.9449,4,0.4724
1982-09-03,0.9871,4,0.5065
1982-09-04,0.9191,4,0.5405
1982-09-05,0.851,5,0.5745
1982-09-06,0.783,5,0.6085
1982-09-07,0.7149,5,0.6425
1982-09-08,0.6469,5,0.6766
1982-09-09,0.5788,6,0.7106
1982-09-10,0.5108,6,0.7446
